name,exchange,symbol,stock,add,country
AbraPlata Resource Corp.,TSX Venture,AET-X,0.17 CDN ,"750 West Pender St, Vancouver, BC V6C 1G8",ca
Adamera Minerals Corp.,TSX Venture,ADZ,0.03 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Adriatic Metals Plc,London ,ADT1 ,88.00 GBX,"65 Rodney Road, Cheltenham, GL50 1HX",gb
Adventus Mining Corporation,TSX Venture/OTC,ADZN/ADVZF,0.93 CDN ,"220 Bay St, Toronto, ON M5J 2W4",ca
Aeris Resources Limited,Sydney (ASX),AIS,0.05 AUS,"520 Wickham St, Fortitude Valley, QLD 4006",au
Affinity Metals Corp,TSX-Venture ,AFF,0.19 CDN,"600-890 West Pender St, Vancouver, BC V6C 1J9",ca
Aftermath Silver Ltd,TSX-Venture/OTCQB,AAG/AAGFF,0.30 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Agnico Eagle Mines Limited,TSE,AEM,76.23 CDN,"145 King St East, Toronto, ON M5C 2Y7",ca
AJN Resources Inc.,CSEX/ Frankfurt,AJN / 5AT,0.35 CDN ,"17618 Ave, Surrey, BC V3S 1L3",ca
Alacer Gold Corp.,TSE,ASR,6.33 CDN,"7001 E. Belleview Ave, Denver, CO 80237",us
Alamos Gold Inc.,TSE/NYSE,AGI,7.13 CDN,"181 Bay St, Toronto, ON M5J 2T3",ca
Aldebaran Resources Inc.,TSX Venture,ALDE,0.45 CDN ,"1177 West Hastings St, Vancouver, BC V6E 4T5",ca
Alexco Resource Corp.,TSE/NYSE,AXU,2.47 CDN ,"555 Burrard St, Vancouver, BC V7X 1M8",ca
Almaden Minerals Ltd.,TSE/NYSE,AMM/AAU ,0.66 CDN ,"1333 Johnston St, Vancouver, BC V6H 3R9",ca
Altamira Gold,TSX Venture/Frankfurt/US ,ALTA/T6UP/EQTRF,0.07 CDN ,"409 Granville St, Vancouver, BC V6C 1T2",ca
Altius Minerals Corp.,TSE,ALS,11.44 CDN,"38 Duffy Place, St Johns, NL, A1B 4M5",ca
Alto Ventures Ltd.,TSX Venture,ATV,0.03 CDN,"800 West Pender St, Vancouver, BC V6C 2V6",ca
ALX Resources Corp.,TSX Venture/Frankfurt/US ,AL/6LLN/ALXEF,0.05 CDN ,"1199 West Pender St, Vancouver, BC V6E 2R1",ca
Amarillo Gold Corp.,TSX Venture,AGC,0.20 CDN ,"82 Richmond St East, Toronto, ON M5C 1P1",ca
American Creek Resources Ltd.,TSX Venture,AMK,0.08 CDN ,"92 2 Ave W, Cardston, AB T0K 0K0",ca
Americas Gold and Silver,TSE,USA,3.78 CDN,"145 King St W, Toronto, ON M5H 1J8",ca
Amerigo Resources Ltd.,TSE ,ARG ,0.55 CDN ,"355 Burrard St, Vancouver, BC V6C 2G8",ca
Amex Exploration,TSX Venture/FRA/OTCQX,AMX/MX0/AMXEF,1.46 CDN,"410 Rue Saint Nicolas, Montréal, QC H2Y 2P5",ca
Anaconda Mining Inc.,TSE/OTCQX ,ANX/ANXGF ,0.24 CDN ,"150 York St, Toronto, ON M5H 3S5",ca
Andino Commodities S.A.S,,,,Cl 108 45-30 Bogota,co
Anglo American,London ,AAL ,2.161.50 GBX,"20 Carlton House Terrace, St James's, London SW1Y 5AN",gb
Appia Energy Corp.,CSE ,API,0.20 CDN,"2 Toronto St, Toronto, ON M5C 2B6",ca
Aquila Resources Inc.,TSE/OTCQB,AQA/AQARF,0.15 CDN ,"141 Adelaide St W, Toronto, ON M5H 3L5",ca
Arctic Star Exploration Corp.,TSX Venture,ADD,0.08 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
