,biztype
0,Air Transportation Services
1,Association
2,Consulting Services
3,Drill Equip/Serv & Compressors
4,Expl/Mining Equipment/Supplies
5,Exploration/Mining Company
6,Finance Division/Institution
7,Financial/Insurance Company
8,Geological Survey
9,Geophysical Services & Equip
10,Government
11,Health Services
12,Junior Exploration Company
13,Labs/Lab Suppliers & Analytics
14,Law Firm
15,Other
16,Remote Sensing/Mapping
17,Research Organization
18,Satellite Communications
19,Software Company
20,University/College
