booth_no,type,geometry
3030,ix,"POLYGON ((-79.38440811125849 43.6423506593642, -79.38444553423837 43.64234301466221, -79.38445610876315 43.64237012344993, -79.38441868578329 43.64237776814849, -79.38440811125849 43.6423506593642))"
3028,ix,"POLYGON ((-79.38441868578329 43.64237776814848, -79.38445610876313 43.64237012344994, -79.38446668328791 43.64239723222542, -79.38442926030807 43.64240487692051, -79.38441868578329 43.64237776814848))"
3402,pt,"POLYGON ((-79.38498695437426 43.64269682974338, -79.38494980760099 43.64270449065315, -79.38493948367504 43.64267827551917, -79.38497663044831 43.64267061460605, -79.38498695437426 43.64269682974338))"
3404,pt,"POLYGON ((-79.38494980760099 43.64270449065315, -79.38491266082775 43.64271215156196, -79.3849023369018 43.64268593643131, -79.38493948367504 43.64267827551917, -79.38494980760099 43.64270449065315))"
3406,pt,"POLYGON ((-79.38491266082775 43.64271215156196, -79.38487551405449 43.64271981246979, -79.38486519012854 43.64269359734248, -79.3849023369018 43.64268593643131, -79.38491266082775 43.64271215156196))"
3408,pt,"POLYGON ((-79.38487551405449 43.64271981246979, -79.38483836728123 43.64272747337663, -79.38482804335528 43.64270125825267, -79.38486519012854 43.64269359734248, -79.38487551405449 43.64271981246979))"
3410,pt,"POLYGON ((-79.38483836728123 43.64272747337663, -79.38480122050795 43.6427351342825, -79.38479089658202 43.64270891916188, -79.38482804335528 43.64270125825267, -79.38483836728123 43.64272747337663))"
3412,pt,"POLYGON ((-79.38480122050795 43.6427351342825, -79.38476407373471 43.6427427951874, -79.38475374980875 43.64271658007012, -79.38479089658202 43.64270891916188, -79.38480122050795 43.6427351342825))"
3414,pt,"POLYGON ((-79.38476407373471 43.6427427951874, -79.38472692696146 43.64275045609131, -79.3847166030355 43.64272424097738, -79.38475374980875 43.64271658007012, -79.38476407373471 43.6427427951874))"
3418,pt,"POLYGON ((-79.38468858993663 43.64275828913003, -79.38465144316336 43.64276595003196, -79.38464111923741 43.6427397349248, -79.38467826601068 43.64273207401951, -79.38468858993663 43.64275828913003))"
