,name,biztype
0,Air Greenland Charter,Air Transportation Services
1,Avjet Holding Inc.,Air Transportation Services
2,Canadian Helicopters Limited,Air Transportation Services
3,Custom Helicopters Ltd.,Air Transportation Services
4,Drone Delivery Canada,Air Transportation Services
5,Dynamic Aviation Group Inc.,Air Transportation Services
6,Expedition Helicopters Inc.,Air Transportation Services
7,Heli Explore Inc.,Air Transportation Services
8,Helicopter Transport Services,Air Transportation Services
9,Kenn Borek Air,Air Transportation Services
10,LATAM Airlines,Air Transportation Services
11,Nolinor Aviation,Air Transportation Services
12,STAR Alliance,Air Transportation Services
13,Summit Helicopters,Air Transportation Services
14,Universal Helicopters,Air Transportation Services
15,Voyages Lindberg Inc.,Air Transportation Services
16,American Geosciences Institute,Association
17,ANMOPYC,Association
18,Brasil Pavilion,Association
19,"Canadian Institute of Mining, Metallurgy & Petroleum (CIM)",Association
20,Carpenters Union Local 2486,Association
21,Geological Association of Canada (GAC),Association
22,Greenland Business Association,Association
23,International Airborne Geophysics Safety Association,Association
24,Me Too Mining Association,Association
25,Mexico Pavilion,Association
26,Mining Industry Human Resources Council (MiHR),Association
27,Mining Suppliers Trade Association (MSTA Canada),Association
28,New Brunswick Prospectors & Developers Association,Association
29,Northwest Territories & Nunavut Chamber of Mines,Association
30,Nova Scotia Prospectors Association,Association
31,Professional Geoscientists Ontario (PGO),Association
32,"Society for Mining, Metallurgy & Exploration (SME) Inc.",Association
33,Society of Economic Geologists,Association
34,Yukon Chamber of Mines,Association
35,Aarhus Geophysics ApS,Consulting Services
36,AMC Consultants,Consulting Services
37,Arethuse Geology,Consulting Services
38,Argentine Mining Industry Pavilion,Consulting Services
39,Aurum Exploration Services,Consulting Services
40,BBA Inc.,Consulting Services
41,Beak Consultants GmbH,Consulting Services
42,BGC Engineering Inc,Consulting Services
43,Brunel,Consulting Services
44,Business Consultants Mexico,Consulting Services
45,Capital Street Media,Consulting Services
46,CGG,Consulting Services
47,CH Engineering & Consultants,Consulting Services
48,Complete MT Solutions,Consulting Services
49,"Condor Consulting, Inc.",Consulting Services
50,Corporate Traveller,Consulting Services
51,Cypher Environmental Ltd.,Consulting Services
52,DRA Americas Inc.,Consulting Services
53,Equity Exploration Consultants Ltd.,Consulting Services
54,ERM,Consulting Services
55,Fladgate Exploration Consulting Corporation,Consulting Services
56,"Foth Infrastructure & Environment, LLC",Consulting Services
57,Fracflow Consultants Inc.,Consulting Services
58,G Mining Services Inc.,Consulting Services
59,Geologica Inc.,Consulting Services
60,Geophysics GPR International Inc.,Consulting Services
61,Golder,Consulting Services
62,IGS International Geoscience Services Ltd.,Consulting Services
63,iMotion,Consulting Services
64,"Independent Mining Consultants, Inc.",Consulting Services
65,InnovExplo Inc.,Consulting Services
66,INR Engineering & Consulting Inc.,Consulting Services
67,Jacobs,Consulting Services
68,"Kappes, Cassiday & Associates",Consulting Services
69,Kingston Process Metallurgy Inc.,Consulting Services
70,Knight Piésold Ltd.,Consulting Services
71,Lantern,Consulting Services
72,LGL Limited,Consulting Services
73,Major Reclaim Corp.,Consulting Services
74,Matrix GeoTechnologies Ltd.,Consulting Services
75,Maxwell GeoServices,Consulting Services
76,Mercator Geological Services Limited,Consulting Services
77,MineAfrica Inc.,Consulting Services
78,MineHutte,Consulting Services
79,Mining Finland,Consulting Services
80,Mining Footprint Ltd.,Consulting Services
81,Montt Group SpA,Consulting Services
82,Natural History Museum Consulting,Consulting Services
83,Nordmin Group of Companies,Consulting Services
84,Objectivity,Consulting Services
85,Orix Geoscience Inc.,Consulting Services
86,"Paterson, Grant & Watson Limited",Consulting Services
87,Piteau Associates Engineering Ltd.,Consulting Services
88,Promer Consultancy Engineering Inc.,Consulting Services
89,R.T. Boyd Limited,Consulting Services
90,Risk Assistance Group,Consulting Services
91,Roscoe Postle Associates Inc.,Consulting Services
92,RPMGlobal Canada Ltd.,Consulting Services
93,RWDI,Consulting Services
94,SAXUM Engineered Solutions,Consulting Services
95,SimWell,Consulting Services
96,SolidCAD,Consulting Services
97,SRK Consulting Canada Inc.,Consulting Services
98,Stantec,Consulting Services
99,Story Environmental Inc.,Consulting Services
100,TerraCore,Consulting Services
101,Terrane Geoscience Inc.,Consulting Services
102,Tetra Tech,Consulting Services
103,The Claim Group Inc.,Consulting Services
104,TransPerfect Translations,Consulting Services
105,Tulloch Engineering,Consulting Services
106,UpDeep Project,Consulting Services
107,Vektore Exploration Consulting Corporation,Consulting Services
108,"Watts, Griffis and McOuat Limited",Consulting Services
109,Wood,Consulting Services
110,Workplace Safety North,Consulting Services
111,WSP Canada Inc.,Consulting Services
112,XPS,Consulting Services
113,Acker Drill Company,Drill Equip/Serv & Compressors
114,AMC North America Limited,Drill Equip/Serv & Compressors
115,AVD Drill rigs - Atelier Val d'Or,Drill Equip/Serv & Compressors
116,Baroid Industrial Drilling Products,Drill Equip/Serv & Compressors
117,BAUER Maschinen GmbH,Drill Equip/Serv & Compressors
118,Bg Drilling Solutions,Drill Equip/Serv & Compressors
119,Boart Longyear,Drill Equip/Serv & Compressors
120,Cabo Drilling Corp.,Drill Equip/Serv & Compressors
121,Comacchio Srl,Drill Equip/Serv & Compressors
122,Control Chemical 1989 Corporation,Drill Equip/Serv & Compressors
123,DBC Makina,Drill Equip/Serv & Compressors
124,Discovery Drill Manufacturer DDM Ltd.,Drill Equip/Serv & Compressors
125,Duralite Diamond Drills Ltd.,Drill Equip/Serv & Compressors
126,Eijkelkamp North America,Drill Equip/Serv & Compressors
127,Foraco International SA,Drill Equip/Serv & Compressors
128,Forage FTE Drilling,Drill Equip/Serv & Compressors
129,Forage Orbit Garant Drilling,Drill Equip/Serv & Compressors
130,G4 Drilling Ltd.,Drill Equip/Serv & Compressors
131,Geops-Bolkan Drilling Services Ltd.,Drill Equip/Serv & Compressors
132,Geotech Drilling Services Ltd.,Drill Equip/Serv & Compressors
133,Hole Products Corporation,Drill Equip/Serv & Compressors
134,Hydracore Drills Ltd.,Drill Equip/Serv & Compressors
135,Hy-Tech Drilling Ltd.,Drill Equip/Serv & Compressors
136,KEMAICO USA CORP.,Drill Equip/Serv & Compressors
137,Machines Roger International,Drill Equip/Serv & Compressors
138,Major Drilling,Drill Equip/Serv & Compressors
139,MARL Technologies Inc.,Drill Equip/Serv & Compressors
