,name,commodity
0,AbraPlata Resource Corp.,Base metals
1,Adventus Mining Corporation,Base metals
2,Aldebaran Resources Inc.,Base metals
3,Altius Minerals Corp.,Base metals
4,ALX Resources Corp.,Base metals
5,American Creek Resources Ltd.,Base metals
6,Ascendant Resources Inc.,Base metals
7,Ascot Resources Ltd.,Base metals
8,Aston Bay,Base metals
9,ATAC Resources Ltd.,Base metals
10,Auramex Resource Corp,Base metals
11,Aurum Discovery,Base metals
12,Avidian Gold Corp.,Base metals
13,Azimut Exploration Inc.,Base metals
14,Azure Minerals Limited,Base metals
15,Balmoral Resources Ltd.,Base metals
16,BeMetals Corp.,Base metals
17,Buchans Resources Ltd.,Base metals
18,BWR Exploration Inc.,Base metals
19,Callinex Mines Inc.,Base metals
20,CanAlaska Uranium Ltd.,Base metals
21,Cantex Mine Development Corp,Base metals
22,Commander Resources Ltd.,Base metals
23,Conroy Gold and Natural Resources plc,Base metals
24,Constantine Metal Resources Ltd.,Base metals
25,CVK Mining Group,Base metals
26,Discovery Group,Base metals
27,Eagle Plains Resources Ltd.,Base metals
28,Eastfield Resources Ltd.,Base metals
29,"EDM-Empresa de Desenvolvimento Mineiro, SA",Base metals
30,Eldorado Gold Corporation,Base metals
31,EMX Royalty Corp.,Base metals
32,Entrée Resources Ltd.,Base metals
33,Erdene Resource Development Corp.,Base metals
34,Exiro Minerals Corp.,Base metals
35,FPX Nickel Corp.,Base metals
36,Geophysx Jamaica Ltd,Base metals
37,Globe Trotters Resource Group Inc.,Base metals
38,Globex Mining Enterprises Inc.,Base metals
39,Goldspot Discoveries Inc.,Base metals
40,Greg Exploration Inc.,Base metals
41,Hammer Metals Ltd,Base metals
42,Happy Creek Minerals Ltd.,Base metals
43,Harfang Exploration Inc.,Base metals
44,Ivanhoe Mines,Base metals
45,Keras Resources plc,Base metals
46,Lara Exploration Ltd.,Base metals
47,Laurion Mineral Exploration Inc.,Base metals
48,Longland Resources Ltd,Base metals
49,Lundin Group,Base metals
50,Manex Resource Group Inc.,Base metals
51,Manganese X Energy Corp.,Base metals
52,Metallic Group of Companies,Base metals
53,Midland Exploration Inc.,Base metals
54,Minera Tres Valles,Base metals
55,Mira Stone Ltd,Base metals
56,Mississauga Mining,Base metals
57,Montero Mining & Exploration Ltd.,Base metals
58,Moydow Resources Limited,Base metals
59,Murchison Minerals Ltd.,Base metals
60,New Age Metals,Base metals
61,New Pacific Metals Corp.,Base metals
62,Newmont Corporation,Base metals
63,Newrange Gold Corp.,Base metals
64,Nicola Mining Inc.,Base metals
65,NorZinc Ltd,Base metals
66,Opus One Resources Inc.,Base metals
67,Osisko Metals Incorporated,Base metals
68,Pacific Empire Minerals Corp.,Base metals
69,Palladium One,Base metals
70,Pancontinental Resources Corporation,Base metals
71,Panda Mining Pty Ltd,Base metals
72,Panthera Resources Plc,Base metals
73,Patagonia Exploracion S.A.,Base metals
74,Pavey Ark Minerals Inc.,Base metals
75,Peel Mining Ltd.,Base metals
76,Portofino Resources Inc.,Base metals
77,Power Ore Inc.,Base metals
78,Prolific Mining Corp.,Base metals
79,Prophecy Development Corp.,Base metals
80,Pucara Resources,Base metals
81,Red Cloud Securities Inc.,Base metals
82,Redstar Gold Corp.,Base metals
83,Rio Tinto,Base metals
