,name,country
0,Desert Gold Ventures Inc.,Africa
1,Lundin Group,Africa
2,Rio Tinto,Angola
3,AbraPlata Resource Corp.,Argentina
4,Aldebaran Resources Inc.,Argentina
5,Anglo American,Argentina
6,Barrick Gold Corporation,Argentina
7,Fomicruz S.E.,Argentina
8,Golden Arrow Resources,Argentina
9,Golden Minerals Company,Argentina
10,Latin Metals Inc.,Argentina
11,Lundin Group,Argentina
12,McEwen Mining Inc.,Argentina
13,Millennial Lithium Corp.,Argentina
14,Mirasol Resources Ltd.,Argentina
15,Neo Lithium Corp.,Argentina
16,Newcrest Mining Ltd.,Argentina
17,Newmont Corporation,Argentina
18,OceanaGold Corporation,Argentina
19,Patagonia Exploracion S.A.,Argentina
20,Portofino Resources Inc.,Argentina
21,Rugby Mining Limited,Argentina
22,Sandstorm Gold Royalties,Argentina
23,Wealth Minerals Ltd.,Argentina
24,Wheaton Precious Metals Corp.,Argentina
25,Yamana Gold Inc.,Argentina
26,Aeris Resources Limited,Australia
27,Aftermath Silver Ltd,Australia
28,Altius Minerals Corp.,Australia
29,Anglo American,Australia
30,BHP,Australia
31,Blackstone Minerals Ltd,Australia
32,Breaker Resources NL,Australia
33,Copper Mountain Mining Corporation,Australia
34,EMX Royalty Corp.,Australia
35,Hammer Metals Ltd,Australia
36,Kirkland Lake Gold Ltd.,Australia
37,Lepidico Ltd.,Australia
38,Mandalay Resources Corp.,Australia
39,Monument Mining Limited,Australia
40,Newmont Corporation,Australia
41,Pacific Trends Resources Pty Ltd,Australia
42,Pacton Gold Inc.,Australia
43,Panda Mining Pty Ltd,Australia
44,Peel Mining Ltd.,Australia
45,Rio Tinto,Australia
46,RNC Minerals,Australia
47,Rugby Mining Limited,Australia
48,S2 Resources Ltd.,Australia
49,Sayona Mining Limited,Australia
50,SolGold,Australia
51,South32 Limited,Australia
52,SQM,Australia
53,Teck Resources Limited,Australia
54,Vista Gold Corp.,Australia
55,White Rock Minerals,Australia
56,New Pacific Metals Corp.,Bolivia
57,Orvana Minerals Corp.,Bolivia
58,Prophecy Development Corp.,Bolivia
59,Adriatic Metals Plc,Bosnia And Herzegowina
60,Copperzone Resources Limited,Botswana
61,Lundin Group,Botswana
62,Altamira Gold,Brazil
63,Amarillo Gold Corp.,Brazil
64,Anglo American,Brazil
65,Cabral Gold Ltd.,Brazil
66,Centaurus Metals Ltd,Brazil
67,Eldorado Gold Corporation,Brazil
68,Ero Copper Corp.,Brazil
69,GoldMining Inc.,Brazil
70,IAMGOLD Corporation,Brazil
71,Jaguar Mining Inc.,Brazil
72,Kinross Gold Corporation,Brazil
73,Lara Exploration Ltd.,Brazil
74,Largo Resources Ltd.,Brazil
75,Leagold Mining Corporation,Brazil
76,Lundin Group,Brazil
77,Moydow Resources Limited,Brazil
78,Nexa Resources S.A.,Brazil
79,Rio Tinto,Brazil
80,Sandstorm Gold Royalties,Brazil
81,Serabi Gold plc,Brazil
82,TriStar Gold Inc.,Brazil
83,Vale Canada Limited,Brazil
84,Wheaton Precious Metals Corp.,Brazil
85,Yamana Gold Inc.,Brazil
86,Artemis Gold Inc.,Bulgaria
87,Dundee Precious Metals Inc.,Bulgaria
88,Mundoro Capital Inc.,Bulgaria
89,Velocity Minerals Ltd.,Bulgaria
90,Wealth Minerals Ltd.,Bulgaria
91,Artisanal Gold Council,Burkina Faso
