add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"750 West Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSX Venture,POINT (-123.1158865 49.284933),AbraPlata Resource Corp.,,British Columbia,0.17 CDN ,AET-X,http://www.aethonminerals.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX Venture,POINT (-123.122136 49.286786),Adamera Minerals Corp.,,British Columbia,0.03 CDN,ADZ,http://www.adamera.com
"65 Rodney Road, Cheltenham, GL50 1HX",Cheltenham,gb,London ,POINT (-2.074691 51.898941),Adriatic Metals Plc,South West England,England,88.00 GBX,ADT1 ,http://www.adriaticmetals.com
"220 Bay St, Toronto, ON M5J 2W4",Toronto,ca,TSX Venture/OTC,POINT (-79.379954 43.647552),Adventus Mining Corporation,,Ontario,0.93 CDN ,ADZN/ADVZF,http://www.adventusmining.com
"520 Wickham St, Fortitude Valley, QLD 4006",Brisbane,au,Sydney (ASX),POINT (153.0395618 -27.4517239),Aeris Resources Limited,,Queensland,0.05 AUS,AIS,http://www.aerisresources.com.au
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.1142912 49.2853029),Aftermath Silver Ltd,,British Columbia,0.30 CDN,AAG/AAGFF,http://www.vendettaminingcorp.com
"145 King St East, Toronto, ON M5C 2Y7",Toronto,ca,TSE,POINT (-79.375944 43.649579),Agnico Eagle Mines Limited,,Ontario,76.23 CDN,AEM,http://www.agnicoeagle.com
"17618 Ave, Surrey, BC V3S 1L3",Surrey,ca,CSEX/ Frankfurt,POINT (-122.734687 49.10765),AJN Resources Inc.,,British Columbia,0.35 CDN ,AJN / 5AT,http://www.ajnresources.com
"7001 E. Belleview Ave, Denver, CO 80237",Greenwood Village,us,TSE,POINT (-104.9051306 39.6242964),Alacer Gold Corp.,,Colorado,6.33 CDN,ASR,http://www.alacergold.com
"181 Bay St, Toronto, ON M5J 2T3",Toronto,ca,TSE/NYSE,POINT (-79.3786735 43.6465062),Alamos Gold Inc.,,Ontario,7.13 CDN,AGI,http://www.alamosgold.com
"1177 West Hastings St, Vancouver, BC V6E 4T5",Vancouver,ca,TSX Venture,POINT (-123.121766 49.28876),Aldebaran Resources Inc.,,British Columbia,0.45 CDN ,ALDE,http://www.aldebaranresources.com
