name,booth
AbraPlata Resource Corp.,2215
Adamera Minerals Corp.,2750
Adriatic Metals Plc,2738
Adventus Mining Corporation,2613
Aeris Resources Limited,2537
Affinity Metals  Corp,2751
Aftermath Silver Ltd,2743
Agnico Eagle Mines Limited,2127
AJN Resources Inc.,2944
Alacer Gold Corp.,2339
Alamos Gold Inc.,2722
Aldebaran Resources Inc.,2923
Alexco Resource Corp.,2447
Almaden Minerals Ltd.,2829
Altamira Gold,3242
Altius Minerals Corp.,2435
Alto Ventures Ltd.,2622
ALX Resources Corp.,2823
Amarillo Gold Corp.,2621
American Creek Resources Ltd.,2753
Americas Gold and Silver,2616
Amerigo Resources Ltd.,2123
Amex Exploration,2716
Anaconda Mining Inc.,2906
Andino Commodities S.A.S,2326
Anglo American,2325
Appia Energy Corp.,2927
Aquila Resources Inc.,2614
Arctic Star Exploration Corp.,2103
Ardiden Limited,3233
Ares Strategic Mining Inc.,2351
Argo Gold,3300
Argonaut Gold Inc.,2947
Artemis Gold Inc.,2146
Artisanal Gold Council,3212
Asante Gold Corporation,2418
Ascendant Resources Inc.,2643
Ascot Resources Ltd.,2329
Aston Bay,2106
ATAC Resources Ltd.,2610
Atlantic Gold Corporation,2904
Auramex Resource Corp,3340
Aurania Resources Ltd.,2905
Aurora Minerals Group LLP,2907
Aurum Discovery,3326
AURYN Mining Corp.,2209
Auryn Resources Inc.,2421
Avalon Advanced Materials Inc.,2303
Avidian Gold Corp.,2608
Avino Silver & Gold Mines Ltd.,2445
Awale Resources Ltd.,2708
Azimut Exploration Inc.,2433
Azure Minerals Limited,2940
B2Gold Corp.,2731
Balmoral Resources Ltd.,2902
Banyan Gold Corp.,2221
Barrian Mining Corp,2415
Barrick Gold Corporation,2434
BeMetals Corp.,3047
Benton Resources Inc.,2117
BHP,3123
BlackRock Gold Corp.,2419
Blackstone Minerals Ltd,2418
Blind Creek Resources Ltd.,3234
Blue Star Gold Corp.,2308
Blue Thunder Mining Corp,2749
BONTERRA Resources Inc.,2931
Braveheart Resources Inc.,3214
Breaker Resources NL,2620
Brixton Metals Corporation,3228
BTU Metals Corp.,2951
Buchans Resources Ltd.,2736
BWR Exploration Inc.,2219
Cabral Gold Ltd.,2831
Callinex Mines Inc.,2909
Canada Nickel Company,2747
Canadian Securities Exchange,2542
CanAlaska Uranium Ltd.,2140
Canarc Resource Corp.,3034
Candente Copper Corp.,3031
Cantex Mine Development Corp,3151
Cardinal Resources Ltd.,3129
Carube Copper Corp.,2711
Centaurus Metals Ltd,2702
Centerra Gold Inc.,2148
Century Global Commodities Corporation,2151
Cerro de Pasco Resources Inc.,2628
Chakana Copper Corporation,3325
Chesapeake Gold Corporation,2422
China Gold International Resources Corp. Ltd.,2431
Clean Air Metals Inc,2306
Columbus Gold Corp.,3338
Commander Resources Ltd.,2141
Commerce Resources Corp.,2817
Condor Gold Plc,2946
Conroy Gold and Natural Resources plc,2132
Constantine Metal Resources Ltd.,2911
Consulting & Mining Sevices SRL,3208
Continental Gold Inc.,2107
Copper Fox Metals Inc.,2713
Copper Mountain Mining Corporation,2420
Copperzone Resources Limited,3036
Cornerstone Capital Resources Inc.,2551
Corvus Gold Inc.,2518
Critical Elements Corporation,2504
Crystal Lake Mining,2614
CVK Mining Group,3017
Defiance Silver Corp.,2703
Delta Resources Limited,3032
Denison Mines Corp.,2514
Desert Gold Ventures Inc.,2349
Desert Mountain Energy Corp.,2845
Diamcor Mining Inc.,2316
Discovery Group,2813
Dundee Precious Metals Inc.,2649
Durango Resources Inc.,2617
Dynacor Gold Mines Inc.,2632
Dynasty Gold Corp.,2832
Eagle Plains Resources Ltd.,2319
Earthmetrix Inc.,2932
Eastfield Resources Ltd.,2620
Eclipse Gold Mining Corp,2948
"EDM-Empresa de Desenvolvimento Mineiro, SA",2136
Eldorado Gold Corporation,2732
Elim Mining Incorporated,2347
Ely Gold Royalties Inc.,3012
EMX Royalty Corp.,2651
Endurance Gold Corp,2622
Energold Corp.,2516
Energy Fuels Inc.,2452
Engineer Gold Mines Ltd,3232
Entrée Resources Ltd.,2712
EnviroLeach Technologies Inc.,2333
Equus Mining Limited,3216
Erdene Resource Development Corp.,2112
Ero Copper Corp.,3222
Eros Resources Corp.,3308
E-Tech Metals,3332
Evergold Corp,3140
Evrim Resources Corp.,3040
Excelsior Mining Corp.,2809
Exiro Minerals Corp.,2153
Fiore Gold,2950
FireFox Gold Corp.,3139
First Majestic Silver Corp.,2501
First Mining Gold Corp.,2729
Fission Uranium Corp.,2641
Five Star Diamond Limited,2739
Focus Graphite Inc.,2726
Fomicruz S.E.,3016
Foran Mining Corporation,2616
Fortune Minerals Limited,2837
Forum Energy Metals Corp.,2825
FPX Nickel Corp.,2425
Frontier Lithium Inc.,3236
Galleon Gold Corp.,3302
Galway Metals Inc.,2623
Garibaldi Resources Corp,3149
Gatling Exploration Inc.,2833
Generation Mining Limited,3220
Genesis Metals,2746
Geomega Resources Inc.,2642
Geophysx Jamaica Ltd,3310
GFG Resources Inc.,3130
Globe Trotters Resource Group Inc.,2949
Globex Mining Enterprises Inc.,2718
Globmine LLP,3316
GMV Minerals Inc.,2338
Go Metals Corp.,2625
Gold Group Management Inc.,2108
Gold Springs Resource Corp.,2928
Gold Terra Resource Corp.,2304
Golden Arrow Resources,2924
Golden Goliath Resources Ltd.,2543
Golden Minerals Company,2706
Golden Predator Mining Corp.,2650
Golden Star Resources Limited,2305
GoldMining Inc.,2526
Goldmoney Inc.,3131
GoldQuest Mining Corp.,2844
Goldsource Mines Inc.,2449
Goldspot Discoveries Inc.,2646
Gossan Resources Limited,2615
Gowest Gold Ltd.,2824
GR Sliver Mining Ltd.,2348
Gran Colombia Gold Corp.,2310
Greg Exploration Inc.,2114
Grid Metals Corp.,2122
Grizzly Discoveries Inc.,3020
GT Gold Corp.,2323
Hammer Metals Ltd,2938
Happy Creek Minerals Ltd.,2425
Harfang Exploration Inc.,3030
Harte Gold Corp.,2820
Hecla Mining Company,2437
High Power Exploration,2416
HighGold Mining Inc,3245
HPQ Silicon Resources,2145
Hudson Resources Inc.,2648
IAMGOLD Corporation,2522
Impact Silver Corp.,2505
Inca One Gold Corp.,3035
Independence Gold Corp.,2741
Integra Resources Corp.,2147
International Millennium Mining Corp.,3128
ioneer,2109
IsoEnergy Ltd.,2421
Ivanhoe Mines,2414
Jaguar Mining Inc.,2430
Jamaica Stock Exchange,3146
Jameson Resources Limited,3137
Japan Gold Corp.,2606
K92 Mining Inc.,3033
Kalo Exploration Ltd,3218
Keras Resources plc,2621
Kerr Mines Inc.,2618
Kesselrun Resources Ltd.,2536
Kingsgate Consolidated Limited,2341
Kinross Gold Corporation,2913
Kirkland Lake Gold Ltd.,2313
Klondike Silver Corp.,3231
Kootenay Silver Inc.,3148
Kopy Goldfields AB,2302
Kutcho Copper Corp.,3023
Lara Exploration Ltd.,2700
Largo Resources Ltd.,3147
Latin Metals Inc.,3143
Laurion Mineral Exploration Inc.,3025
Leading Edge Materials Corp.,2941
Leagold Mining Corporation,2843
Lepidico Ltd.,2332
Libero Copper,2508
Liberty Gold Corp.,3206
Lion One Metals,3021
Lomiko Metals Inc.,2547
Longland Resources Ltd,3342
"Lumina Group, The",2704
Lundin Group,2515
Mako Mining Corp.,2710
MANAGEM Group,2105
Mandalay Resources Corp.,2301
Manex Resource Group Inc.,2451
Manganese X Energy Corp.,3237
Manitou Gold Inc.,2130
Marathon Gold Corporation,2241
Market Making Services Inc.,2612
Mawson Resources Limited,2939
Maya Gold & Silver Inc.,2450
McEwen Mining Inc.,2849
MegumaGold,2953
Meridian Credit Union,2550
Metallic Group of Companies,3024
Metals Creek Resources Corp.,2640
Metals Group Inc.,2709
Midas Gold Corp.,2413
Midland Exploration Inc.,2502
Millennial Lithium Corp.,2124
Minaurum Gold Inc.,2637
Minera Alamos Inc.,2423
Minera Tres Valles,2420
Mineral Mountain Resources Ltd.,2812
Mira Stone Ltd,2618
Mirasol Resources Ltd.,2219
Mississauga Mining,3152
Mkango Resources,3304
Monarques Gold Corporation,2417
Moneta Porcupine Mines Inc.,3045
Montero Mining & Exploration Ltd.,2647
Monument Mining Limited,3050
"Morefield Gem Mine, Inc.",3243
Morien Resources Corp.,2822
Morocota Gold SAS,3235
Moydow Resources Limited,2532
Mundoro Capital Inc.,2530
Murchison Minerals Ltd.,2111
Neo Lithium Corp.,2828
Nevada Copper Corp.,2410
Nevada Exploration Inc.,2527
New Age Metals,2619
New Found Gold Corp,2748
New Gold Inc.,2314
New Pacific Metals Corp.,3239
Newcrest Mining Ltd.,2350
Newmont Corporation,2912
Newrange Gold Corp.,2415
Nexa Resources S.A.,3322
Nicola Mining Inc.,2408
NioBay Metals Inc.,2624
Noront Resources Ltd.,2631
North Arrow Minerals Inc.,2707
Northern Dynasty Minerals Ltd.,3240
Northern Graphite Corporation,2115
Northern Shield Resources Inc.,3037
Northern Superior Resources Inc.,3029
Northern Vertex Mining Corp.,2714
Northstar Gold Corp.,2929
NorZinc Ltd,2727
Nouveau Monde Graphite,2830
Novagold Resources Inc.,2901
OceanaGold Corporation,2841
Olivut Resources Ltd.,2419
Opus One Resources Inc.,2125
Orefinders Resources Inc.,2324
Orestone Mining Corp,2138
Orezone Gold Corporation,2519
Orford Mining Corp.,2529
Orla Mining Ltd.,3046
Oro Verde Limited,3142
Orsu Metals Corporation,2500
Orvana Minerals Corp.,2243
Osino Resources Corp.,3015
Osisko Gold Royalties Ltd.,2624
Osisko Metals Incorporated,3013
OTC Markets Group,2546
Otso Gold Corp.,2552
Pacific Empire Minerals Corp.,2120
Pacific Trends Resources Pty Ltd,2113
Pacton Gold Inc.,2816
Palamina Corp.,2723
Palladium One,2205
Pancontinental Resources Corporation,3010
Panda Mining Pty Ltd,2144
Panoro Minerals Ltd.,2506
Panthera Resources Plc,3005
Patagonia Exploracion S.A.,2615
Pavey Ark Minerals Inc.,2728
Peel Mining Ltd.,3044
Pelangio Exploration Inc.,2237
Peloton Minerals Corporation,2633
Plateau Energy Metals Inc.,3127
Playfair Mining Ltd.,2353
PolyMet Mining Corp.,2705
Portofino Resources Inc.,2634
Power Ore Inc.,2322
PPX Mining Corp.,3019
Premier Gold Mines Limited,2523
Privateer Gold,2207
Probe Metals Inc.,2847
Prolific Mining Corp.,3344
Prophecy Development Corp.,3306
Pucara Resources,2215
Pure Gold Mining,3007
Purepoint Uranium Group Inc.,2636
QMX Gold Corporation,2217
Quaterra Resources Inc.,2331
Radisson Mining Resources Inc.,2908
Red Cloud Securities Inc.,2630
Red Metal Resources Ltd.,2538
Red Pine Exploration Inc.,2539
Redstar Gold Corp.,2645
Refinitiv,3314
Regulus Resources Inc.,2925
Renaissance Gold Inc.,2625
Renforth Resources Inc.,2548
Resource Capital Funds,2730
Reunion Gold Corporation,2142
Revelo Resources Corp.,2644
Revival Gold Inc.,2507
Richardson GMP - Alexandra Horwood,3048
Rio Tinto,2100
Riverside Resources Inc.,2413
RJK Explorations Ltd.,3328
RNC Minerals,2549
Rockcliff Metals Corporation,3042
ROKMASTER Resources Corp.,3153
Romios Gold Resources Inc.,2131
Roscan Gold Corporation,3132
Roxgold Inc.,2635
Royal Canadian Mint,3348
Royal Road Minerals,2342
Rugby Mining Limited,3250
S2 Resources Ltd.,2922
Sabina Gold & Silver Corp.,2617
Salazar Resources Limited,2945
Sandstorm Gold Royalties,2850
Sayona Mining Limited,2340
ScoZinc Mining Ltd.,2143
Searchlight Resources Inc.,3247
SEMAFO Inc.,2724
Serabi Gold plc,2533
Serengeti Resources Inc.,2835
Sherritt International Corporation,948
Sherritt International Corporation,2312
Sidex,2213
Sierra Metals Inc.,2441
Silver Bear Resources Plc.,2531
Silver One Resources,2930
Silvercorp Metals Inc.,2834
SilverCrest Metals Inc.,2448
Sirios Resources Inc.,2910
Sitka Gold Corp,2346
Skeena Resources Ltd.,2223
Skyharbour Resources Ltd.,2629
Sokoman Minerals Corp.,2432
SolGold,2745
Solitario Zinc Corp.,2422
Sonoro Metals Corp.,2328
South32 Limited,3246
SPC Metals,2128
Sphinx Resources Ltd.,2213
Spirit Mining LLC,2343
Sprott Group of Companies,3049
SQM,2840
Star Diamond Corporation,2330
Starcore International Mines Ltd.,2846
Steppe Gold Limited,2725
Stratabound Minerals Corp.,2345
Strategic Exploration Group,3124
Strongbow Exploration Inc.,2545
Stuhini Exploration Ltd.,3018
Sun Peak Metals,3138
Talisker Resources,3144
Talmora Diamond Inc.,2423
Talon Metals Corp.,2512
Teck Resources Limited,2509
Tectonic Metals Inc.,3229
Telson Mining Corporation,2231
Tempus Resources Limited,2752
Teranga Gold Corporation,2540
Tethyan Resource Corp.,3241
Timberline Resources Corporation,2848
Tinka Resources Limited,2937
Toronto Stock Exchange,2917
Transition Metals Corp.,2126
Treasury Metals Inc.,2104
Tres-Or Resources Ltd.,2233
Trevali Mining Corporation,2118
