name,commodity
AbraPlata Resource Corp.,Base metals
Adventus Mining Corporation,Base metals
Aldebaran Resources Inc.,Base metals
Altius Minerals Corp.,Base metals
ALX Resources Corp.,Base metals
American Creek Resources Ltd.,Base metals
Ascendant Resources Inc.,Base metals
Ascot Resources Ltd.,Base metals
Aston Bay,Base metals
ATAC Resources Ltd.,Base metals
Auramex Resource Corp,Base metals
Aurum Discovery,Base metals
Avidian Gold Corp.,Base metals
Azimut Exploration Inc.,Base metals
Azure Minerals Limited,Base metals
Balmoral Resources Ltd.,Base metals
BeMetals Corp.,Base metals
Buchans Resources Ltd.,Base metals
BWR Exploration Inc.,Base metals
Callinex Mines Inc.,Base metals
CanAlaska Uranium Ltd.,Base metals
Cantex Mine Development Corp,Base metals
Commander Resources Ltd.,Base metals
Conroy Gold and Natural Resources plc,Base metals
Constantine Metal Resources Ltd.,Base metals
CVK Mining Group,Base metals
Discovery Group,Base metals
Eagle Plains Resources Ltd.,Base metals
Eastfield Resources Ltd.,Base metals
"EDM-Empresa de Desenvolvimento Mineiro, SA",Base metals
Eldorado Gold Corporation,Base metals
EMX Royalty Corp.,Base metals
Entrée Resources Ltd.,Base metals
Erdene Resource Development Corp.,Base metals
Exiro Minerals Corp.,Base metals
FPX Nickel Corp.,Base metals
Geophysx Jamaica Ltd,Base metals
Globe Trotters Resource Group Inc.,Base metals
Globex Mining Enterprises Inc.,Base metals
Goldspot Discoveries Inc.,Base metals
Greg Exploration Inc.,Base metals
Hammer Metals Ltd,Base metals
Happy Creek Minerals Ltd.,Base metals
Harfang Exploration Inc.,Base metals
Ivanhoe Mines,Base metals
Lara Exploration Ltd.,Base metals
Laurion Mineral Exploration Inc.,Base metals
Longland Resources Ltd,Base metals
Lundin Group,Base metals
Manex Resource Group Inc.,Base metals
Manganese X Energy Corp.,Base metals
Metallic Group of Companies,Base metals
Midland Exploration Inc.,Base metals
Minera Tres Valles,Base metals
Mira Stone Ltd,Base metals
Mississauga Mining,Base metals
Montero Mining & Exploration Ltd.,Base metals
Moydow Resources Limited,Base metals
Murchison Minerals Ltd.,Base metals
New Age Metals,Base metals
New Pacific Metals Corp.,Base metals
Newmont Corporation,Base metals
Newrange Gold Corp.,Base metals
Nicola Mining Inc.,Base metals
NorZinc Ltd,Base metals
Opus One Resources Inc.,Base metals
Osisko Metals Incorporated,Base metals
Pacific Empire Minerals Corp.,Base metals
Palladium One,Base metals
Pancontinental Resources Corporation,Base metals
Panda Mining Pty Ltd,Base metals
Panthera Resources Plc,Base metals
Patagonia Exploracion S.A.,Base metals
Pavey Ark Minerals Inc.,Base metals
Peel Mining Ltd.,Base metals
Portofino Resources Inc.,Base metals
Power Ore Inc.,Base metals
Prolific Mining Corp.,Base metals
Prophecy Development Corp.,Base metals
Pucara Resources,Base metals
Red Cloud Securities Inc.,Base metals
Redstar Gold Corp.,Base metals
Rio Tinto,Base metals
RJK Explorations Ltd.,Base metals
ROKMASTER Resources Corp.,Base metals
S2 Resources Ltd.,Base metals
Searchlight Resources Inc.,Base metals
Sierra Metals Inc.,Base metals
Solitario Zinc Corp.,Base metals
South32 Limited,Base metals
Spirit Mining LLC,Base metals
Stratabound Minerals Corp.,Base metals
Strategic Exploration Group,Base metals
Strongbow Exploration Inc.,Base metals
Sun Peak Metals,Base metals
Talon Metals Corp.,Base metals
Telson Mining Corporation,Base metals
Tinka Resources Limited,Base metals
Transition Metals Corp.,Base metals
Trevali Mining Corporation,Base metals
Tri Origin Exploration Ltd.,Base metals
Valoriza Mineria SL,Base metals
Vior Inc.,Base metals
White Rock Minerals,Base metals
Wildsky Resources Inc.,Base metals
Windfall Geotek Inc.,Base metals
Wolfden Resources Corporation,Base metals
Ximen Mining Corp.,Base metals
Yukon Mining Alliance,Base metals
Zephyr Minerals Ltd.,Base metals
Anglo American,Coal
BHP,Coal
Jameson Resources Limited,Coal
Lundin Group,Coal
Morien Resources Corp.,Coal
Mosra Enerji,Coal
Orestone Mining Corp,Coal
Prophecy Development Corp.,Coal
South32 Limited,Coal
Teck Resources Limited,Coal
AbraPlata Resource Corp.,Copper
Adriatic Metals Plc,Copper
Adventus Mining Corporation,Copper
Aeris Resources Limited,Copper
Affinity Metals  Corp,Copper
Aldebaran Resources Inc.,Copper
Altamira Gold,Copper
Altius Minerals Corp.,Copper
ALX Resources Corp.,Copper
American Creek Resources Ltd.,Copper
Anglo American,Copper
Aquila Resources Inc.,Copper
Ascendant Resources Inc.,Copper
Ascot Resources Ltd.,Copper
ATAC Resources Ltd.,Copper
Auramex Resource Corp,Copper
Aurania Resources Ltd.,Copper
Aurora Minerals Group LLP,Copper
Aurum Discovery,Copper
AURYN Mining Corp.,Copper
Auryn Resources Inc.,Copper
Avino Silver & Gold Mines Ltd.,Copper
Azimut Exploration Inc.,Copper
Azure Minerals Limited,Copper
Balmoral Resources Ltd.,Copper
BeMetals Corp.,Copper
BHP,Copper
Blackstone Minerals Ltd,Copper
Brixton Metals Corporation,Copper
BTU Metals Corp.,Copper
BWR Exploration Inc.,Copper
Cabral Gold Ltd.,Copper
Callinex Mines Inc.,Copper
CanAlaska Uranium Ltd.,Copper
Candente Copper Corp.,Copper
Carube Copper Corp.,Copper
Centerra Gold Inc.,Copper
Century Global Commodities Corporation,Copper
Chakana Copper Corporation,Copper
China Gold International Resources Corp. Ltd.,Copper
Commander Resources Ltd.,Copper
Constantine Metal Resources Ltd.,Copper
Copper Fox Metals Inc.,Copper
Copper Mountain Mining Corporation,Copper
Copperzone Resources Limited,Copper
Cornerstone Capital Resources Inc.,Copper
Crystal Lake Mining,Copper
Discovery Group,Copper
Eagle Plains Resources Ltd.,Copper
Earthmetrix Inc.,Copper
Eastfield Resources Ltd.,Copper
"EDM-Empresa de Desenvolvimento Mineiro, SA",Copper
Elim Mining Incorporated,Copper
Ely Gold Royalties Inc.,Copper
EMX Royalty Corp.,Copper
Entrée Resources Ltd.,Copper
Ero Copper Corp.,Copper
Evrim Resources Corp.,Copper
Excelsior Mining Corp.,Copper
Exiro Minerals Corp.,Copper
Foran Mining Corporation,Copper
Forum Energy Metals Corp.,Copper
Galway Metals Inc.,Copper
Generation Mining Limited,Copper
Geomega Resources Inc.,Copper
Geophysx Jamaica Ltd,Copper
Globe Trotters Resource Group Inc.,Copper
Globmine LLP,Copper
Go Metals Corp.,Copper
Golden Arrow Resources,Copper
GoldMining Inc.,Copper
Gossan Resources Limited,Copper
GR Sliver Mining Ltd.,Copper
GT Gold Corp.,Copper
Hammer Metals Ltd,Copper
Happy Creek Minerals Ltd.,Copper
Harfang Exploration Inc.,Copper
High Power Exploration,Copper
International Millennium Mining Corp.,Copper
Ivanhoe Mines,Copper
Japan Gold Corp.,Copper
K92 Mining Inc.,Copper
Kutcho Copper Corp.,Copper
Lara Exploration Ltd.,Copper
Latin Metals Inc.,Copper
Libero Copper,Copper
Longland Resources Ltd,Copper
"Lumina Group, The",Copper
Lundin Group,Copper
MANAGEM Group,Copper
Manex Resource Group Inc.,Copper
Maya Gold & Silver Inc.,Copper
Metallic Group of Companies,Copper
Metals Group Inc.,Copper
Midland Exploration Inc.,Copper
Minaurum Gold Inc.,Copper
