name,country
Rio Tinto,Angola
AbraPlata Resource Corp.,Argentina
Aldebaran Resources Inc.,Argentina
Anglo American,Argentina
Barrick Gold Corporation,Argentina
Fomicruz S.E.,Argentina
Golden Arrow Resources,Argentina
Golden Minerals Company,Argentina
Latin Metals Inc.,Argentina
Lundin Group,Argentina
McEwen Mining Inc.,Argentina
Millennial Lithium Corp.,Argentina
Mirasol Resources Ltd.,Argentina
Neo Lithium Corp.,Argentina
Newcrest Mining Ltd.,Argentina
Newmont Corporation,Argentina
OceanaGold Corporation,Argentina
Patagonia Exploracion S.A.,Argentina
Portofino Resources Inc.,Argentina
Rugby Mining Limited,Argentina
Sandstorm Gold Royalties,Argentina
Wealth Minerals Ltd.,Argentina
Wheaton Precious Metals Corp.,Argentina
Yamana Gold Inc.,Argentina
Aeris Resources Limited,Australia
Aftermath Silver Ltd,Australia
Altius Minerals Corp.,Australia
Anglo American,Australia
BHP,Australia
Blackstone Minerals Ltd,Australia
Breaker Resources NL,Australia
Copper Mountain Mining Corporation,Australia
EMX Royalty Corp.,Australia
Hammer Metals Ltd,Australia
Kirkland Lake Gold Ltd.,Australia
Lepidico Ltd.,Australia
Mandalay Resources Corp.,Australia
Monument Mining Limited,Australia
Newmont Corporation,Australia
Pacific Trends Resources Pty Ltd,Australia
Pacton Gold Inc.,Australia
Panda Mining Pty Ltd,Australia
Peel Mining Ltd.,Australia
Rio Tinto,Australia
RNC Minerals,Australia
Rugby Mining Limited,Australia
S2 Resources Ltd.,Australia
Sayona Mining Limited,Australia
SolGold,Australia
South32 Limited,Australia
SQM,Australia
Teck Resources Limited,Australia
Vista Gold Corp.,Australia
White Rock Minerals,Australia
New Pacific Metals Corp.,Bolivia
Orvana Minerals Corp.,Bolivia
Prophecy Development Corp.,Bolivia
Adriatic Metals Plc,Bosnia and Herzegovina
Copperzone Resources Limited,Botswana
Lundin Group,Botswana
Altamira Gold,Brazil
Amarillo Gold Corp.,Brazil
Anglo American,Brazil
Cabral Gold Ltd.,Brazil
Centaurus Metals Ltd,Brazil
Eldorado Gold Corporation,Brazil
Ero Copper Corp.,Brazil
GoldMining Inc.,Brazil
IAMGOLD Corporation,Brazil
Jaguar Mining Inc.,Brazil
Kinross Gold Corporation,Brazil
Lara Exploration Ltd.,Brazil
Largo Resources Ltd.,Brazil
Leagold Mining Corporation,Brazil
Lundin Group,Brazil
Moydow Resources Limited,Brazil
Nexa Resources S.A.,Brazil
Rio Tinto,Brazil
Sandstorm Gold Royalties,Brazil
Serabi Gold plc,Brazil
TriStar Gold Inc.,Brazil
Vale Canada Limited,Brazil
Wheaton Precious Metals Corp.,Brazil
Yamana Gold Inc.,Brazil
Artemis Gold Inc.,Bulgaria
Dundee Precious Metals Inc.,Bulgaria
Mundoro Capital Inc.,Bulgaria
Velocity Minerals Ltd.,Bulgaria
Wealth Minerals Ltd.,Bulgaria
