add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"22 Adelaide St W, Toronto, ON M5H 4E3",Toronto,ca,TSE,POINT (-79.3794979 43.6504863),Sherritt International Corporation,,Ontario,0.17 CDN,S,http://www.sherritt.com
,,,,,Aarhus Geophysics ApS,,,,,http://www.aarhusgeo.com
,,,,,Aarhus GeoSoftware,,,,,http://www.aarhusgeosoftware.dk
,,,,,ABEL Pumps LP,,,,,http://www.abelpumps.com
,,,,,Abitibi Geophysics Inc.,,,,,http://www.ageophysics.com
,,,,,Acker Drill Company,,,,,http://www.ackerdrill.com
,,,,,acQuire Technology Solutions Pty Ltd.,,,,,http://www.acquire.com.au
,,,,,Activation Laboratories Ltd. (Actlabs),,,,,http://www.actlabs.com
,,,,,Advanced Geophysical Operations and Services Inc. (AGCOS),,,,,http://www.agcos.ca
,,,,,Advanced Geosciences Inc.,,,,,http://www.agiusa.com
,,,,,Advanced Logic Technology (ALT),,,,,http://www.alt.lu
,,,,,Aerogeophysica Inc.,,,,,http://www.aerogeo.ru
,,,,,AeroGeophysical Surveys,,,,,http://www.aerosurveys.ru
,,,,,Afghanistan Embassy Ottawa,,,,,http://www.afghanembassy.ca
,,,,,AFRI-SYNERGIES Ltd.,,,,,http://www.afrisynergies.com
,,,,,AGAT Laboratories Ltd.,,,,,http://www.agatlabs.com
,,,,,Agilent Technologies,,,,,http://www.agilent.com
,,,,,Agnav Inc.,,,,,http://www.agnav.com
,,,,,AGT Systems,,,,,http://www.agtsys.ca
,,,,,AIL Mining,,,,,http://www.ailmining.com
,,,,,Air Greenland Charter,,,,,http://www.airgreenland.com
,,,,,Alaska Structures,,,,,http://www.aks.com
,,,,,Alastri,,,,,http://www.alastri.com
,,,,,"Allegheny Instruments, Inc.",,,,,http://www.alleghenyinstruments.com
,,,,,Almazgeobur LLC,,,,,http://www.almazgeobur.ru
,,,,,ALS,,,,,http://www.alsglobal.com
,,,,,AMC Consultants,,,,,http://www.amcconsultants.com
,,,,,AMC North America Limited,,,,,http://www.amcmud.com
,,,,,American Geosciences Institute,,,,,http://www.americangeosciences.org
,,,,,AMG Metals Inc.,,,,,http://www.amgmetals.com
,,,,,Amis,,,,,http://www.amis.co.za
,,,,,Anachemia Science,,,,,http://ca.vwr.com
,,,,,ANMOPYC,,,,,http://www.anmopyc.es
,,,,,Applanix,,,,,http://www.applanix.com
,,,,,Arethuse Geology,,,,,http://www.arethusegeology.com
,,,,,"Argentina, Federal and provincial governments",,,,,http://www.minem.gob.ar
,,,,,Argentine Mining Industry Pavilion,,,,,http://www.altoamericas.com.ar
,,,,,Armtec Inc.,,,,,http://www.armtec.com
,,,,,AssayNet Canada Inc.,,,,,http://www.assaynet.com
,,,,,Atom Bits,,,,,http://www.atombits.ca
,,,,,Aurum Exploration Services,,,,,http://www.aurumexploration.com
,,,,,AVD Drill rigs - Atelier Val d'Or,,,,,http://www.ateliervd.qc.ca
,,,,,Avigilon Corporation,,,,,http://www.avigilon.com
,,,,,Avjet Holding Inc.,,,,,http://www.avjet.ca
,,,,,Axis Mining Technology Pty Ltd.,,,,,http://www.axisminetech.com
