name,booth
Aarhus Geophysics ApS,1449
Aarhus GeoSoftware,6727N
ABEL Pumps LP,6327N
Abitibi Geophysics Inc.,1329
Acker Drill Company,512
acQuire Technology Solutions Pty Ltd.,823
Activation Laboratories Ltd. (Actlabs),123
Advanced Geophysical Operations and Services Inc. (AGCOS),1007
Advanced Geosciences Inc.,526
Advanced Logic Technology (ALT),1415
Aerogeophysica Inc.,422
AeroGeophysical Surveys,516
Afghanistan Embassy Ottawa,7528N
AFRI-SYNERGIES Ltd.,7526N
AGAT Laboratories Ltd.,843
Agilent Technologies,1125
Agnav Inc.,1051
AGT Systems,432
AIL Mining,710
Air Greenland Charter,415
Alaska Structures,1315
Alastri,7329N
"Allegheny Instruments, Inc.",611
Almazgeobur LLC,7022N
ALS,125
AMC Consultants,448
AMC North America Limited,323
American Geosciences Institute,6500N
AMG Metals Inc.,6630N
Amis,6525N
Anachemia Science,816
ANMOPYC,6631N
Applanix,6125N
Arethuse Geology,605
"Argentina, Federal and provincial governments",950
Argentine Mining Industry Pavilion,1023
Armtec Inc.,6518N
AssayNet Canada Inc.,711
Atom Bits,6530N
Aurum Exploration Services,716
AVD Drill rigs - Atelier Val d'Or,7231N
Avigilon Corporation,7534N
Avjet Holding Inc.,624
Axis Mining Technology Pty Ltd.,743
Aziwell AS,6409N
Bag Supplies Canada Ltd.,953
Balsam Promotions,6622N
Barbados,6219N
"Barnard Construction Company, Inc",6110N
Baroid Industrial Drilling Products,809
"Basler Turbo Conversions, LLC",122
BAUER Maschinen GmbH,515
BBA Inc.,724
Beak Consultants GmbH,915
Becker Mining Systems,7023N
Belt Conveyor Guarding,6528N
BeltecHub Technologies Inc.,7525N
BESTECH,6925N
Beyond Limits,6417N
Bg Drilling Solutions,112
BGC Engineering Inc,6215N
Bio-Mine Ltd.,245
BLP Law,951
Blue Coast Research,1138
Bme,1453
Boart Longyear,101
Boréalis,443
BPQ,6324N
Brasil Pavilion,1303
BRGM,7413N
"British Columbia, Ministry of Energy, Mines and Petroleum Resources",631
Bruker Nano Analytics,6416N
Brunel,7307N
Budget Demolition,7305N
Bureau Veritas Commodities Canada Ltd.,400
Business Consultants Mexico,1229
Cabo Drilling Corp.,430
"Canada, Government of",539
Canada-Nunavut Geoscience Office,1014
Canadian Council for Aboriginal Business,6415N
Canadian Helicopters Limited,917
"Canadian Institute of Mining, Metallurgy & Petroleum (CIM)",215
Canadian Northern Economic Development Agency CanNor,7105N
Canpipe,6526N
Capital Street Media,7404N
Caron Business Solutions Inc.,453
Carpenters Union Local 2486,6627N
CartoCanada Inc.,1013
CDN Resource Laboratories Ltd.,1227
Centric Mining Systems,1203
CGG,203
CGG,7523N
CH Engineering & Consultants,7316N
Challenger Geomatics Ltd.,6735N
Chemours,128
"Chile, Trade Commission of",1349
Chrysos Corporation Limited,6131N
Cigna,6207N
ClearView Geophysics Inc.,902
Coast Mountain Wireless Communications Ltd.,6404N
"Colombia, Government of – National Mining Agency",7001N
Comacchio Srl,6723N
Complete MT Solutions,210
"Condor Consulting, Inc.",6400N
Control Chemical 1989 Corporation,1142
Core Case,1147
Core Tech,6825N
COREM,709
CoreSafe Core Trays,1244
Corescan Pty Ltd.,309
Cornwall Development Company,7328N
Corporate Traveller,845
"Courage Services, Inc.",6534N
"CRM GeoTomography Technologies, Inc.",6625N
Crone Geophysics & Exploration Ltd.,800
Cryopeak LNG Solutions Corporation,7331N
CSIRO Mineral Resources,408
Custom Helicopters Ltd.,152
CyanoGuard AG,6335N
Cypher Environmental Ltd.,1336
Czech Republic,6529N
Datamine Software Canada,146
Datarock Pty Ltd.,6830N
DATC,937
Davidson & Company LLP,346
DBC Makina,6307N
De Beers Group Services,6304N
Deakin Industries,1212
Derrick Corporation,1019
"Descartes Labs, Inc.",7326N
Deswik,6502N
Devico Directional Drilling,517
DGI Geoscience Inc.,842
Diamantina Christensen Trading Inc.,1328
Dias Geophysical Limited,643
Di-Corp,426
DigiGeoData Inc.,6325N
Discovery Drill Manufacturer DDM Ltd.,1251
Discovery International Geophysics Inc.,1042
Displasac,7325N
DMC Mining Services,604
DMT Group,622
Doppelmayr,1403
DRA Americas Inc.,423
Drone Delivery Canada,6724N
DroneDeploy,7324N
Dumas Contracting Ltd.,507
Dundee Sustainable Technologies Inc.,1405
Duralite Diamond Drills Ltd.,447
dynaCERT Inc.,6224N
Dynamic Aviation Group Inc.,626
Dynamik Drilling Products,1000
E.S. Fox Limited,6407N
ECO Technologies,1248
Egyptian Ministry of Petroleum and Mineral Resources (MOP),6209N
Eijkelkamp North America,6931N
ElectroMagnetic Imaging Technology,847
ELEMISSION Inc.,6329N
EMS Bruel & Kjaer,6204N
Enersoft,6208N
Enterprise Holdings Ottawa,6824N
EON Geosciences Inc.,312
Equipment Jexplore Inc.,1146
Equity Exploration Consultants Ltd.,6217N
ERIEZ,1140
ERM,326
Esri Canada,701
eSupply Canada Ltd.,7529N
European Union,7123N
Eutectic Canada Inc.,6411N
Expedition Helicopters Inc.,1223
Expert Geophysics Limited,717
Exploration Mapping Group Inc.,7219N
Export Development Canada,552
Exyn Technologies,7419N
F.F.P. Systems Inc.,947
"Finland, Geological Survey of",409
Fladgate Exploration Consulting Corporation,703
FLSmidth Ltd.,525
Foraco International SA,1141
Forage FTE Drilling,6522N
Forage Orbit Garant Drilling,240
Fordia Powered by Epiroc,723
Foremost Industries,433
"Foth Infrastructure & Environment, LLC",1129
Fracflow Consultants Inc.,344
FWS Group of Companies,314
G Mining Services Inc.,1238
G4 Drilling Ltd.,7211N
Galaxy Broadband Communications Inc.,150
Gap - Discovery HeliSAM Ltd.,6225N
Gekko Systems,305
GEM Systems Advanced Magnetometers,705
GEM Systems Advanced Magnetometers,802
Geo Data Solutions Inc.,818
GeoCue Group Inc.,7417N
GEODEVICE,1206
Geologica Inc.,333
Geological Association of Canada (GAC),6401N
Geological Survey of New South Wales (Australia Minerals),317
Geological Survey of Victoria (Australia Minerals),412
Geometrics,1242
GeoMinera S.A.,6635N
Geonics Limited,811
Geophysics GPR International Inc.,1004
Geops-Bolkan Drilling Services Ltd.,7308N
GEOREKA Software,6311N
Geoscan,6729N
Geoscience Australia (Australia Minerals),313
Geosense,607
GeoSight Inc.,7429N
Geotech Drilling Services Ltd.,100
Geotech Ltd.,1209
Geotechnologies,444
Geotek Ltd.,6127N
Géotic Inc.,124
Geovariances,1330
Geovista,1439
German Pavilion - Federal Ministry for Economic Affairs and Energy (BMWi),6114N
German Pavilion - Federal Ministry for Economic Affairs and Energy (BMWi),6115N
GF Instruments,6108N
Globalstar Canada Satellite Co.,6308N
GMS Mine Repair & Maintenance,7209N
Golder,342
GoldFinX PTE Ltd.,7414N
Greenland Business Association,413
"Greenland, Government of",417
Grenville Minerals,331
Groundradar Inc.,702
Guyana,7009N
Halltech Exploration Outfitters,108
Heli Explore Inc.,527
Helicopter Transport Services,726
Helmholtz Institute Freiberg for Resource Technology,6301N
Hexagon Mining,1224
Hi Tech PMR,6725N
HiSeis Pty Ltd.,406
Hitec Power Protection Inc.,6427N
Hole Products Corporation,6313N
Horizon North Logistics Inc.,6504N
Hydracore Drills Ltd.,6926N
HySpex,7304N
Hy-Tech Drilling Ltd.,351
HyVista Corporation Pty Ltd.,6722N
ICOM Canada,1441
IFG Corporation,310
IGS International Geoscience Services Ltd.,253
Imago Inc.,6412N
iMotion,7315N
Independent Laboratory Supplies Pty Ltd.,1145
"Independent Mining Consultants, Inc.",719
"India, Government of, Ministry of Mines",1241
Inertial Sensing,6510N
Infosat Communications LP,130
Ingetrol Group,713
Initial Exploration Services Inc.,7130N
InnovExplo Inc.,239
Innu Development Limited Partnership,944
INR Engineering & Consulting Inc.,7128N
Instrumentation GDD Inc.,706
International Airborne Geophysics Safety Association,6206N
International Directional Services,337
International SOS,7510N
Intertek,7205N
Ireland Pavilion,7115N
"Ireland, Department of Communications, Climate Action & Environment",903
IRL Supplies Ltd.,608
ITC Global,602
ITRES Research Limited,6827N
Jacobs,1407
Jambo,7229N
"Japan Oil, Gas and Metals National Corporation",1047
Japosat Satellite Mapping,1204
"Jinshi Drilltech Co., Ltd.",6315N
K2fly,7527N
"Kappes, Cassiday & Associates",1131
Keller,649
KEMAICO USA CORP.,7426N
Kemetco Research Inc.,1052
Kenn Borek Air,6403N
Kingston Process Metallurgy Inc.,119
Kitco Metals (Precious Metals Division),7028N
Kitikmeot Cementation Mining & Development Ltd.,1117
Klen International,347
Knight Piésold Ltd.,1041
Komplete Modular Solutions Ltd.,6234N
Kovatera,6322N
Kroum VS Instruments Limited,514
Krux Analytics,6425N
Kuvawala Core Drill Eqpt. Pvt. Ltd.,6205N
Lake Central Air Services Inc.,508
Lamontagne Geophysics Ltd.,1103
Langara Island Lodge,129
Lantern,6431N
LATAM Airlines,7514N
"Laurentian University, Harquail School of Earth Sciences",1230
Legacy Building Solutions,6524N
Levanto Canada Inc.,1110
LGL Limited,6201N
LiDAR Services International Inc.,241
LIM Logging,442
Loesche South Africa,7410N
Machines Roger International,1337
MacLean Engineering,216
Magnor,6109N
Major Drilling,330
Major Reclaim Corp.,6323N
Malvern Panalytical Inc.,939
Manitoba Geoscience Education,6111N
Manitoba Pavilion,731
Manufacture Adria inc.,441
Maptek,1039
MARL Technologies Inc.,6434N
Matawa First Nations,748
Matrix GeoTechnologies Ltd.,1106
Matrix Helicopter Solutions Inc.,1112
Maxidrill Inc.,401
Maxwell GeoServices,424
MBI Drilling Products,1322
