id,booth,country,name,website
0,2349,Africa,Desert Gold Ventures Inc.,http://www.desertgold.ca
1,2515,Africa,Lundin Group ,http://www.thelundingroup.com
2,2100,Angola,Rio Tinto,http://www.riotinto.com
3,2215B,Argentina,AbraPlata Resource Corp. ,http://www.aethonminerals.com
4,2923,Argentina,Aldebaran Resources Inc.,http://www.aldebaranresources.com
5,2325,Argentina,Anglo American,http://www.angloamerican.com
6,2434,Argentina,Barrick Gold Corporation,http://www.barrick.com
7,3016,Argentina,Fomicruz S.E. ,http://www.fomicruz.com
8,2924,Argentina,Golden Arrow Resources,http://www.goldenarrowresources.com
9,2706,Argentina,Golden Minerals Company,http://www.goldenminerals.com
10,3143,Argentina,Latin Metals Inc.,http://www.latinmetals.com
11,2515,Argentina,Lundin Group ,http://www.thelundingroup.com
12,2849,Argentina,McEwen Mining Inc.,http://www.mcewenmining.com
13,2124,Argentina,Millennial Lithium Corp.,http://www.millenniallithium.com
14,2219A,Argentina,Mirasol Resources Ltd.,http://www.mirasolresources.com
15,2828,Argentina,Neo Lithium Corp.,http://www.neolithium.ca
16,2350,Argentina,Newcrest Mining Ltd.,http://www.newcrest.com.au
17,2912,Argentina,Newmont Corporation,http://www.newmont.com
18,2841,Argentina,OceanaGold Corporation,http://www.oceanagold.com
19,2615B,Argentina,Patagonia Exploracion S.A.,http://N/A
20,2634,Argentina,Portofino Resources Inc.,http://www.portofinoresources.com
21,3250,Argentina,Rugby Mining Limited,http://www.rugbymining.com
22,2850,Argentina,Sandstorm Gold Royalties,http://www.sandstormgold.com
23,3141,Argentina,Wealth Minerals Ltd.,http://www.wealthminerals.com
24,2311,Argentina,Wheaton Precious Metals Corp.,http://www.wheatonpm.com
25,2715,Argentina,Yamana Gold Inc.,http://www.yamana.com
26,2537,Australia,Aeris Resources Limited,http://www.aerisresources.com.au
27,2743,Australia,Aftermath Silver Ltd,http://www.vendettaminingcorp.com
28,2435,Australia,Altius Minerals Corp.,http://www.altiusminerals.com
29,2325,Australia,Anglo American,http://www.angloamerican.com
30,3123,Australia,BHP,http://www.bhp.com
31,2418B,Australia,Blackstone Minerals Ltd,http://www.blackstoneminerals.com.au
32,2620B,Australia,Breaker Resources NL,http://www.breakerresources.com.au
33,2420A,Australia,Copper Mountain Mining Corporation,http://www.cumtn.com
34,2651,Australia,EMX Royalty Corp.,http://www.emxroyalty.com
35,2938,Australia,Hammer Metals Ltd,http://www.hammermetals.com.au
36,2313,Australia,Kirkland Lake Gold Ltd. ,http://www.klgold.com
37,2332,Australia,Lepidico Ltd.,http://www.lepidico.com
38,2301,Australia,Mandalay Resources Corp.,http://www.mandalayresources.com
39,3050,Australia,Monument Mining Limited,http://www.monumentmining.com
40,2912,Australia,Newmont Corporation,http://www.newmont.com
41,2113,Australia,Pacific Trends Resources Pty Ltd,http://www.pacifictrendsresources.com.au
42,2816,Australia,Pacton Gold Inc.,http://www.pactongold.com
43,2144,Australia,Panda Mining Pty Ltd,http://n/a
44,3044,Australia,Peel Mining Ltd.,http://www.peelmining.com.au
45,2100,Australia,Rio Tinto,http://www.riotinto.com
46,2549,Australia,RNC Minerals,http://www.rncminerals.com
47,3250,Australia,Rugby Mining Limited,http://www.rugbymining.com
48,2922,Australia,S2 Resources Ltd.,http://www.s2resources.com.au
49,2340,Australia,Sayona Mining Limited,http://www.sayonamining.com.au
50,2745,Australia,SolGold,http://www.solgold.com.au
51,3246,Australia,South32 Limited,http://www.south32.net
52,2840,Australia,SQM,http://www.sqm.com
53,2509,Australia,Teck Resources Limited,http://www.teck.com
54,2235,Australia,Vista Gold Corp.,http://www.vistagold.com
55,2414B,Australia,White Rock Minerals,http://www.whiterockminerals.com.au
56,3239,Bolivia,New Pacific Metals Corp.,http://www.newpacificmetals.com
57,2243,Bolivia,Orvana Minerals Corp.,http://www.orvana.com
58,3306,Bolivia,Prophecy Development Corp.,http://www.prophecydev.com
59,2738,Bosnia And Herzegowina,Adriatic Metals Plc,http://www.adriaticmetals.com
60,3036,Botswana,Copperzone Resources Limited,http://www.copperzone-resources.com
61,2515,Botswana,Lundin Group ,http://www.thelundingroup.com
62,3242,Brazil,Altamira Gold,http://www.altamiragold.com
63,2621A,Brazil,Amarillo Gold Corp.,http://www.amarillogold.com
64,2325,Brazil,Anglo American,http://www.angloamerican.com
65,2831,Brazil,Cabral Gold Ltd. ,http://www.cabralgold.com
66,2702,Brazil,Centaurus Metals Ltd,http://www.centaurus.com.au
67,2732,Brazil,Eldorado Gold Corporation,http://www.eldoradogold.com
68,3222,Brazil,Ero Copper Corp.,http://www.erocopper.com
69,2526,Brazil,GoldMining Inc.,http://www.goldmining.com
70,2522,Brazil,IAMGOLD Corporation,http://www.iamgold.com
71,2430,Brazil,Jaguar Mining Inc.,http://www.jaguarmining.com
72,2913,Brazil,Kinross Gold Corporation,http://www.kinross.com
73,2700,Brazil,Lara Exploration Ltd.,http://www.laraexploration.com
74,3147,Brazil,Largo Resources Ltd.,http://www.largoresources.com
75,2843,Brazil,Leagold Mining Corporation,http://www.leagold.com
76,2515,Brazil,Lundin Group ,http://www.thelundingroup.com
77,2532,Brazil,Moydow Resources Limited,http://www.moydow.com
78,3322,Brazil,Nexa Resources S.A.,http://www.nexaresources.com
79,2100,Brazil,Rio Tinto,http://www.riotinto.com
80,2850,Brazil,Sandstorm Gold Royalties,http://www.sandstormgold.com
81,2533,Brazil,Serabi Gold plc,http://www.serabigold.com
82,2152,Brazil,TriStar Gold Inc.,http://www.tristargold.com
83,"2307, 3318",Brazil,Vale Canada Limited,http://www.vale.com
84,2311,Brazil,Wheaton Precious Metals Corp.,http://www.wheatonpm.com
85,2715,Brazil,Yamana Gold Inc.,http://www.yamana.com
86,2146,Bulgaria,Artemis Gold Inc.,http://www.artemisgoldinc.com
87,2649,Bulgaria,Dundee Precious Metals Inc.,http://www.dundeeprecious.com
88,2530,Bulgaria,Mundoro Capital Inc.,http://www.mundoro.com
89,3145,Bulgaria,Velocity Minerals Ltd.,http://www.velocityminerals.com
90,3141,Bulgaria,Wealth Minerals Ltd.,http://www.wealthminerals.com
91,3212,Burkina Faso,Artisanal Gold Council,http://www.artisanalgold.org
92,2731,Burkina Faso,B2Gold Corp.,http://www.b2gold.com
93,2522,Burkina Faso,IAMGOLD Corporation,http://www.iamgold.com
94,2105,Burkina Faso,MANAGEM Group,http://www.managemgroup.com
95,2519,Burkina Faso,Orezone Gold Corporation,http://www.orezone.com
96,2635,Burkina Faso,Roxgold Inc.,http://www.roxgold.com
97,2850,Burkina Faso,Sandstorm Gold Royalties,http://www.sandstormgold.com
98,2724,Burkina Faso,SEMAFO Inc.,http://www.semafo.com
99,2540,Burkina Faso,Teranga Gold Corporation,http://www.terangagold.com
100,2118,Burkina Faso,Trevali Mining Corporation,http://www.trevali.com
101,3152,Cameroon,Mississauga Mining,http://www.mississaugamining.com
102,2751,Canada,Affinity Metals  Corp,http://www.affinity-metals.com
103,2127,Canada,Agnico Eagle Mines Limited,http://www.agnicoeagle.com
104,2722,Canada,Alamos Gold Inc.,http://www.alamosgold.com
105,2447,Canada,Alexco Resource Corp.,http://www.alexcoresource.com
106,2435,Canada,Altius Minerals Corp.,http://www.altiusminerals.com
107,2622A,Canada,Alto Ventures Ltd.,http://www.altoventures.com
108,2823,Canada,ALX Resources Corp.,http://www.alxresources.com
109,2753,Canada,American Creek Resources Ltd.,http://www.americancreek.com
110,2716,Canada,Amex Exploration,http://www.amexexploration.com
111,2906,Canada,Anaconda Mining Inc.,http://www.anacondamining.com
112,2325,Canada,Anglo American,http://www.angloamerican.com
113,2927,Canada,Appia Energy Corp.,http://www.appiaenergy.ca
114,2103,Canada,Arctic Star Exploration Corp.,http://www.arcticstar.ca
115,3233,Canada,Ardiden Limited,http://www.ardiden.com.au
116,2351,Canada,Ares Strategic Mining Inc.,http://www.aresmining.com
117,3300,Canada,Argo Gold,http://www.argogold.ca
118,2947,Canada,Argonaut Gold Inc.,http://www.argonautgold.com
119,2146,Canada,Artemis Gold Inc.,http://www.artemisgoldinc.com
120,2329,Canada,Ascot Resources Ltd.,http://www.ascotgold.com
121,2106,Canada,Aston Bay,http://www.astonbayholdings.com
122,2610,Canada,ATAC Resources Ltd.,http://www.atacresources.com
123,2904,Canada,Atlantic Gold Corporation,http://www.atlanticgoldcorporation.com
124,3340,Canada,Auramex Resource Corp,http://www.auramex.com
125,2421A,Canada,Auryn Resources Inc.,http://www.aurynresources.com
126,2303,Canada,Avalon Advanced Materials Inc.,http://www.avalonadvancedmaterials.com
127,2608,Canada,Avidian Gold Corp.,http://www.avidiangold.com
128,2445,Canada,Avino Silver & Gold Mines Ltd.,http://www.avino.com
129,2433,Canada,Azimut Exploration Inc.,http://www.azimut-exploration.com
130,2902,Canada,Balmoral Resources Ltd.,http://www.balmoralresources.com
131,2221B,Canada,Banyan Gold Corp.,http://www.banyangold.com
132,2117,Canada,Benton Resources Inc.,http://www.bentonresources.ca
133,3123,Canada,BHP,http://www.bhp.com
134,2418B,Canada,Blackstone Minerals Ltd,http://www.blackstoneminerals.com.au
135,3234,Canada,Blind Creek Resources Ltd.,http://www.blindcreekresources.com
136,2308,Canada,Blue Star Gold Corp.,http://www.bluestargold.ca
137,2749,Canada,Blue Thunder Mining Corp,http://www.bluethundermining.com
138,2931,Canada,BONTERRA Resources Inc.,http://www.btrgold.com
139,3214,Canada,Braveheart Resources Inc.,http://www.braveheartresourcesinc.com
140,3228,Canada,Brixton Metals Corporation,http://www.brixtonmetals.com
141,2951,Canada,BTU Metals Corp.,http://www.btumetals.com
142,2736,Canada,Buchans Resources Ltd. ,http://www.buchansresources.com
143,2219B,Canada,BWR Exploration Inc. ,http://www.bwrexploration.com
144,2909,Canada,Callinex Mines Inc.,http://www.callinex.ca
145,2747,Canada,Canada Nickel Company,http://www.canadanickel.com
146,2542,Canada,Canadian Securities Exchange,http://www.thecse.com
147,2140,Canada,CanAlaska Uranium Ltd.,http://www.canalaska.com
148,3034,Canada,Canarc Resource Corp.,http://www.canarc.net
149,3151,Canada,Cantex Mine Development Corp,http://www.cantex.ca
150,2711,Canada,Carube Copper Corp.,http://www.carubecopper.com
151,2148,Canada,Centerra Gold Inc.,http://www.centerragold.com
152,2151,Canada,Century Global Commodities Corporation,http://www.centuryglobal.ca
153,2306,Canada,Clean Air Metals Inc,http://www.cleanairmetals.ca
154,2141,Canada,Commander Resources Ltd.,http://www.commanderresources.com
155,2817,Canada,Commerce Resources Corp.,http://www.commerceresources.com
156,2911,Canada,Constantine Metal Resources Ltd.,http://www.constantinemetals.com
157,2713,Canada,Copper Fox Metals Inc.,http://www.copperfoxmetals.com
158,2420A,Canada,Copper Mountain Mining Corporation,http://www.cumtn.com
159,2504,Canada,Critical Elements Corporation,http://www.cecorp.ca
160,2614B,Canada,Crystal Lake Mining,http://www.crystallakemining.com
161,3032,Canada,Delta Resources Limited,http://www.deltaresources.ca
162,2514,Canada,Denison Mines Corp.,http://www.denisonmines.com
163,2813,Canada,Discovery Group,http://www.discoverygroup.ca
164,2617B,Canada,Durango Resources Inc.,http://www.durangoresourcesinc.com
165,2832,Canada,Dynasty Gold Corp.,http://www.dynastygoldcorp.com
166,2319,Canada,Eagle Plains Resources Ltd.,http://www.eagleplains.com
167,2932,Canada,Earthmetrix Inc.,http://www.earthmetrix.ca
168,2620A,Canada,Eastfield Resources Ltd.,http://www.eastfieldresources.com
169,2732,Canada,Eldorado Gold Corporation,http://www.eldoradogold.com
170,2622B,Canada,Endurance Gold Corp,http://www.endurancegold.com
171,3232,Canada,Engineer Gold Mines Ltd,http://www.engineergoldmines.com
172,2333,Canada,EnviroLeach Technologies Inc.,http://www.enviroleach.com
173,3308,Canada,Eros Resources Corp.,http://www.erosresourcescorp.com
174,3140,Canada,Evergold Corp,http://www.evergoldcorp.ca
175,3040,Canada,Evrim Resources Corp.,http://www.evrimresources.com
176,2153,Canada,Exiro Minerals Corp.,http://www.exirominerals.com
177,2729,Canada,First Mining Gold Corp.,http://www.firstmininggold.com
178,2641,Canada,Fission Uranium Corp.,http://www.fissionuranium.com
179,2726,Canada,Focus Graphite Inc.,http://www.focusgraphite.com
180,2616A,Canada,Foran Mining Corporation,http://www.foranmining.com
181,2837,Canada,Fortune Minerals Limited,http://www.fortuneminerals.com
182,2825,Canada,Forum Energy Metals Corp.,http://www.forumenergymetals.com
183,2425A,Canada,FPX Nickel Corp.,http://www.fpxnickel.com
184,3236,Canada,Frontier Lithium Inc.,http://www.frontierlithium.com
185,3302,Canada,Galleon Gold Corp. ,http://www.galleongold.com
186,2623A,Canada,Galway Metals Inc.,http://www.galwaymetalsinc.com
