id,booth,name,website
0,1449,Aarhus Geophysics ApS,http://www.aarhusgeo.com
1,6727N,Aarhus GeoSoftware,http://www.aarhusgeosoftware.dk
2,6327N,ABEL Pumps LP,http://www.abelpumps.com
3,1329,Abitibi Geophysics Inc.,http://www.ageophysics.com
4,512,Acker Drill Company,http://www.ackerdrill.com
5,823,acQuire Technology Solutions Pty Ltd.,http://www.acquire.com.au
6,123,Activation Laboratories Ltd. (Actlabs),http://www.actlabs.com
7,1007,Advanced Geophysical Operations and Services Inc. (AGCOS),http://www.agcos.ca
8,526,Advanced Geosciences Inc.,http://www.agiusa.com
9,1415,Advanced Logic Technology (ALT),http://www.alt.lu
10,422,Aerogeophysica Inc.,http://www.aerogeo.ru
11,516,AeroGeophysical Surveys,http://www.aerosurveys.ru
12,7528N,Afghanistan Embassy Ottawa,http://www.afghanembassy.ca
13,7526N,AFRI-SYNERGIES Ltd.,http://www.afrisynergies.com
14,843,AGAT Laboratories Ltd.,http://www.agatlabs.com
15,1125,Agilent Technologies,http://www.agilent.com
16,1051,Agnav Inc.,http://www.agnav.com
17,432,AGT Systems,http://www.agtsys.ca
18,710,AIL Mining,http://www.ailmining.com
19,415,Air Greenland Charter,http://www.airgreenland.com
20,1315,Alaska Structures,http://www.aks.com
21,7329N,Alastri,http://www.alastri.com
22,611,"Allegheny Instruments, Inc.",http://www.alleghenyinstruments.com
23,7022N,Almazgeobur LLC,http://www.almazgeobur.ru
24,125,ALS,http://www.alsglobal.com
25,448,AMC Consultants,http://www.amcconsultants.com
26,323,AMC North America Limited,http://www.amcmud.com
27,6500N,American Geosciences Institute,http://www.americangeosciences.org
28,6630N,AMG Metals Inc.,http://www.amgmetals.com
29,6525N,Amis,http://www.amis.co.za
30,816,Anachemia Science,http://ca.vwr.com
31,6631N,ANMOPYC,http://www.anmopyc.es
32,6125N,Applanix,http://www.applanix.com
33,605,Arethuse Geology,http://www.arethusegeology.com
34,950,"Argentina, Federal and provincial governments",http://www.minem.gob.ar
35,1023,Argentine Mining Industry Pavilion,http://www.altoamericas.com.ar
36,6518N,Armtec Inc.,http://www.armtec.com
37,711,AssayNet Canada Inc.,http://www.assaynet.com
38,6530N,Atom Bits,http://www.atombits.ca
39,716,Aurum Exploration Services,http://www.aurumexploration.com
40,7231N,AVD Drill rigs - Atelier Val d'Or,http://www.ateliervd.qc.ca
41,7534N,Avigilon Corporation,http://www.avigilon.com
42,624,Avjet Holding Inc.,http://www.avjet.ca
43,743,Axis Mining Technology Pty Ltd.,http://www.axisminetech.com
44,6409N,Aziwell AS,http://www.aziwell.com
45,953,Bag Supplies Canada Ltd.,http://www.bagsupplies.ca
46,6622N,Balsam Promotions,http://www.balsampromotions.com
47,6219N,Barbados,http://www.investbarbados.org
48,6110N,"Barnard Construction Company, Inc",http://www.barnard-inc.com
49,809,Baroid Industrial Drilling Products,http://www.baroididp.com
50,122,"Basler Turbo Conversions, LLC",http://www.baslerturbo.com
51,515,BAUER Maschinen GmbH,http://www.bauer.de
52,724,BBA Inc.,http://www.bba.ca
53,915,Beak Consultants GmbH,http://www.beak.de
54,7023N,Becker Mining Systems,http://www.becker-mining.com
55,6528N,Belt Conveyor Guarding,http://www.conveyorguarding.com
56,7525N,BeltecHub Technologies Inc.,http://www.beltechub.com
57,6925N,BESTECH,http://www.bestech.com
58,6417N,Beyond Limits,http://www.beyond.ai
59,112,Bg Drilling Solutions,http://www.bg-drilling.com
60,6215N,BGC Engineering Inc,http://www.bgcengineering.ca
61,245,Bio-Mine Ltd.,http://www.biomine.ca
62,951,BLP Law,http://www.blplaw.ca
63,1138,Blue Coast Research,http://www.bluecoastresearch.ca
64,1453,Bme,http://www.bme.co.za
65,101,Boart Longyear,http://www.boartlongyear.com
66,443,Boréalis,http://www.boreal-is.com
67,6324N,BPQ,http://www.bpq.ca
68,1303,Brasil Pavilion,http://www.adimb.org.br/brasilpdac
69,7413N,BRGM,http://www.brgm.fr
70,631,"British Columbia, Ministry of Energy, Mines and Petroleum Resources",http://www.gov.bc.ca/ener
71,6416N,Bruker Nano Analytics,http://www.bruker.com/hmp
72,7307N,Brunel,http://www.brunelcanada.ca
73,7305N,Budget Demolition,http://www.budgetdemolition.ca
74,400,Bureau Veritas Commodities Canada Ltd.,http://www.bureauveritas.com/um
75,1229,Business Consultants Mexico,http://www.businessconsultantsmex.com
76,430,Cabo Drilling Corp.,http://www.cabo.ca
77,539,"Canada, Government of",http://www.canada.ca
78,1014,Canada-Nunavut Geoscience Office,http://www.cngo.ca
79,6415N,Canadian Council for Aboriginal Business,http://www.ccab.com
80,917,Canadian Helicopters Limited,http://www.canadianhelicopters.ca
81,215,"Canadian Institute of Mining, Metallurgy & Petroleum (CIM)",http://www.cim.org
82,7105N,Canadian Northern Economic Development Agency CanNor,http://www.cannor.gc.ca
83,6526N,Canpipe,http://www.canpipe.com
84,7404N,Capital Street Media,http://www.capitalstreetmedia.com
85,453,Caron Business Solutions Inc.,http://www.caronminingsolutions.com
86,6627N,Carpenters Union Local 2486,http://www.carpenterslocal2486.com
87,1013,CartoCanada Inc.,http://www.cartocanada.ca
88,1227,CDN Resource Laboratories Ltd.,http://www.cdnlabs.com
89,1203,Centric Mining Systems,http://www.centricminingsystems.com
90,"203, 7523N",CGG,http://www.cgg.com
